id,title,serial,manufacturer_name,frame_model,year,frame_colors,stolen,stolen_location,date_stolen
62705,2014 Marin Bikes Kentfield CS2,HA14652LSM027,Marin Bikes,Kentfield CS2,2014,['White'],True,"San Francisco,94110",1447394400
52966,2015 Specialized Sirrus Sport,wsbc602396042j,Specialized,Sirrus Sport,2015,['Black'],True,"Pleasant Hill,CA,94523",1447308000
62944,2014 Marin Bikes Muirwoods 29er,FA14624KEF019,Marin Bikes,Muirwoods 29er,2014,['Black'],True,"San Francisco,CA,94102",1447308000
62870,2011 Giant Defy 1,GU0E3951,Giant,Defy 1,2011,['Black'],True,"San Francisco,94117",1447308000
62674,2015 Trek District 8,WTU286CS0386J,Trek,District 8,2015,['Orange'],True,"Oakland,CA,94612",1447308000
62871,2011 Giant Avail 1 (Navy Blue/ White/ Silver),absent,Giant,Avail 1 (Navy Blue/ White/ Silver),2011,['Blue'],True,"San Francisco,94117",1447308000
62878,2012 Specialized Daily 2 Step-Through,WSBC606028813G,Specialized,Daily 2 Step-Through,2012,['Blue'],True,"San Francisco,94109",1447308000
62847,2009 Specialized Sirrus,absent,Specialized,Sirrus,2009,['Black'],True,"Oakland,94618",1447308000
62869,2011 Ibis Mojo SL,10M2393/SA10Z469,Ibis,Mojo SL,2011,['Black'],True,"San Francisco,94117",1447308000
62590,2013 Soma Smoothie SS,cc130451,Soma,Smoothie SS,2013,['Silver or Gray'],True,"San Francisco,94118",1447221600
62660,2015 Trek 200 SERIES ALPHA ALUMINUM,SWTU30G0219K,Trek,200 SERIES ALPHA ALUMINUM,2015,"['Silver or Gray', 'Pink']",True,"San Francisco,CA,94123",1447221600
62608,2011 Planet X Kaffenback,Y10050436,Planet X,Kaffenback,2011,['Brown'],True,"Oakland,94612",1447221600
51442,Specialized Allez A1,NK9K1981,Specialized,Allez A1,,"['White', 'Silver or Gray', 'Red']",True,"Berkeley,CA,94704",1447221600
62590,2013 Soma Smoothie SS,cc130451,Soma,Smoothie SS,2013,['Silver or Gray'],True,"San Francisco,94118",1447221600
62608,2011 Planet X Kaffenback,Y10050436,Planet X,Kaffenback,2011,['Brown'],True,"Oakland,94612",1447221600
62555,2014 Crew District,14020633,Crew,District,2014,['Black'],True,"San Francisco,94124",1447135200
